Watchlist 'TEST GPT X0'

TEST GPT X0
Symbol,Last,%Change,Volume,rVOLD
AMC,5.1703,+0.39%,"4,528,575",0.07
ANNX,6.35,-6.48%,"2,415,515",0.83
ACHR,3.6795,+6.65%,"1,644,757",0.36
NCLH,18.355,-0.46%,"658,632",0.05
LXRX,1.885,-2.84%,"342,287",0.12
DDD,4.205,+1.08%,"255,636",0.17
ECC,10.31,+0.29%,"198,840",0.27
NMR,6.305,+1.86%,"119,657",0.08
ADTH,3.20,+0.31%,"114,684",0.05
FSLY,7.7801,-0.13%,"109,273",0.03
CX,7.04,-0.28%,"100,159",0.02
DBRG,13.38,+0.90%,"94,423",0.04
BHC,6.2529,-0.43%,"87,362",0.03
LZ,8.59,+1.06%,"69,142",0.04
MGNX,4.85,-1.22%,"65,281",0.02
IEP,16.72,+0.24%,"55,290",0.08
IRWD,6.39,0.00%,"50,488",0.02
BXMT,17.4491,-0.40%,"49,507",0.03
CMPS,7.43,-0.54%,"47,442",0.05
GOF,14.8586,+0.06%,"46,966",0.08
DCGO,3.075,+1.49%,"45,344",0.05
ACAD,15.325,+0.03%,"42,556",0.03
FNA,7.46,-0.67%,"38,429",0.06
CABA,11.18,+0.09%,"36,448",0.03
OR,16.7695,+0.78%,"35,806",0.05
EB,5.115,-0.49%,"32,859",0.02
EVRI,7.56,-0.13%,"31,198",0.02
BKD,6.74,-0.30%,"29,608",0.02
ABSI,4.56,-1.30%,"29,197",0.03
LFMD,8.40,+2.19%,"26,336",0.03
CDLX,9.70,-0.41%,"25,557",0.02
LQDA,13.82,+0.07%,"22,372",0.03
APLT,4.4103,-0.11%,"22,220",0.03
ANGI,2.1700,0.00%,"20,773",0.02
ARCO,9.83,+0.61%,"19,559",0.02
BMEA,11.63,-1.77%,"19,254",0.02
ADCT,3.51,-0.85%,"19,158",0.03
DENN,7.245,-0.07%,"18,042",0.03
AVDX,10.71,+0.56%,"18,018",0.01
OSUR,4.86,+0.62%,"17,536",0.02
NKTX,6.87,-1.86%,"17,487",0.02
JBGS,14.45,-0.55%,"16,642",0.02
OABI,4.45,+0.23%,"16,108",0.03
OLO,4.58,+0.44%,"13,868",0.01
MAC,15.47,-0.13%,"13,475",0.01
AKR,17.23,-0.40%,"11,472",0.01
EWTX,18.16,+0.83%,"9,902",0.02
MAX,17.995,-0.19%,"7,361",0.01
CERT,17.34,0.00%,"6,836",0.01
INZY,4.805,-0.93%,"5,383",0.01
