Watchlist 'E. Low BollingerM'

E. Low BollingerM
Symbol,Last,%Change,Volume,perc chg,rVOLD
CAN,1.040000,+6.13%,"5,320,043",6.0918,0.57
IAUX,1.13,+2.73%,"4,280,957",5.5,0.93
CIG,1.9400,+2.11%,"1,323,791",2.6,0.64
PACB,2.0500,+0.49%,"7,257,722",3.41,0.64
ABEV,2.2400,+1.82%,"14,828,081",1.81,1.03
BBD,2.5000,+2.88%,"15,259,395",2.04,0.9
SIRI,2.59000,+0.78%,"18,331,223",1.56,0.86
NYCB,3.19,+2.57%,"11,602,996",2.9,0.64
UNIT,3.2650,+4.31%,"1,843,798",3.49,0.61
GGB,3.28,+1.55%,"4,824,420",2.46,0.48
SAVE,3.61,-8.84%,"5,842,664",-6.38,0.94
HOUS,3.72,-1.85%,"894,799",-0.8,0.67
HTZ,3.79,-4.53%,"15,244,172",-5.01,1.95
AVXL,4.03,-3.13%,"792,488",1.93,0.7
OIS,4.06,-0.98%,"1,216,101",1.96,0.92
SSRM,5.24,+6.29%,"2,780,898",2.6,0.77
SEAT,5.26,+0.77%,"619,856",0.96,0.45
VERV,5.28,-1.12%,"960,241",-0.94,0.65
EB,5.34,+3.89%,"1,186,411",1.96,0.71
EDIT,5.43,-3.04%,"1,132,848",0.07,0.61
CLVT,5.76,-0.17%,"3,840,619",-0.17,0.82
TMCI,6.11,0.00%,"947,203",1.85,0.74
BHC,6.23,-0.80%,"1,338,647",-0.32,0.39
BRY,6.41,+2.23%,"1,525,620",2.23,1.38
IRWD,6.45,+0.94%,"1,969,701",-1.87,0.75
RES,6.48,-0.31%,"883,900",-0.61,0.61
SHLS,7.02,-2.77%,"4,128,755",-1.67,0.75
VIAV,7.53,-1.70%,"1,053,247",-1.7,0.66
COUR,7.55,+4.86%,"5,639,661",6.4,2.33
EVRI,7.55,-0.26%,"1,363,008",0.4,1.03
SMR,7.67,-1.54%,"2,745,097",-0.26,0.51
FSLY,7.72,-0.90%,"2,172,523",1.82,0.55
DLO,8.33,-0.24%,"2,293,475",-0.24,1.16
OKLO,8.48,-6.71%,"2,802,664",-5.88,0.8
CXM,9.20,-15.13%,"9,299,394",9.16,4.51
IRBT,9.99,0.00%,"1,162,444",1.51,0.58
PTLO,10.07,-0.30%,"1,220,274",-0.3,0.97
ATEC,10.255,+3.17%,"1,594,923",3.59,0.93
FOLD,10.27,-2.00%,"1,206,004",-1.44,0.46
DNUT,10.72,+3.98%,"2,276,776",4.65,0.54
TALO,10.78,-0.09%,"1,456,070",0.09,0.88
TDOC,11.03,+0.46%,"3,281,408",1.38,0.68
