Watchlist '1.Entry'

1.Entry
Symbol,Sub-Industry,Last,Net Chng,Volume,rVOLD
ATUS,Cable & Satellite,2.1300,+.09,"2,261,416",0.47
ABEV,Brewers,2.6050,+.025,"5,479,597",0.66
BBD,Diversified Banks,2.750000,+.02,"8,032,638",0.47
HL,Silver,3.735,+.165,"3,747,958",0.63
NVAX,Biotechnology,4.135,+.105,"5,260,385",0.65
BDN,Office REITs,4.17,+.05,"2,304,211",0.83
NYCB,Regional Banks,4.965,+.065,"61,808,900",2.54
