Watchlist 'B. MACD M'

B. MACD M
Symbol,Last,%Change,Volume,perc chg,rVOLD
DNN,2.2000,+1.38%,"13,910,812",2.79,0.82
MRSN,2.2150,-4.11%,"981,430",-6.44,0.56
AUR,2.33000,-0.43%,"6,329,588",1.27,0.75
KIND,2.3600,-7.09%,"3,415,297",-5.6,2.38
SID,2.4200,+2.98%,"2,563,741",2.54,0.98
LAB,2.5200,-1.95%,"1,091,042",-1.56,0.4
NNDM,2.64000,+1.93%,"1,037,540",2.73,0.98
TALK,2.6400,-0.75%,"832,814",-1.89,0.63
RERE,2.6900,+3.86%,"1,280,275",1.9,0.99
AQST,2.8100,-6.02%,"1,137,498",-6.04,0.54
AGBA,3.1000,-6.91%,"605,403",6.65,0.04
UNIT,3.2650,+4.31%,"1,843,798",3.49,0.61
BTE,3.41,+2.10%,"7,556,911",0.59,0.72
TTI,3.51,+1.45%,"1,412,988",1.45,0.96
GRAB,3.68,0.00%,"26,419,237",0.14,1.08
CHGG,3.75,+1.90%,"2,198,668",1.91,0.65
CYH,3.85,-0.26%,"823,888",0.52,0.52
EXK,3.95,+5.90%,"5,766,664",4.72,0.85
GCI,4.14,-2.13%,"1,077,709",-1.43,0.88
LAAC,4.17,+0.97%,"689,358",0.73,0.59
ALTM,4.28,-0.70%,"4,837,455",1.4,0.54
AUTL,4.28,-0.23%,"1,639,527",-0.47,1.05
EU,4.36,-0.91%,"657,783",-4.32,0.56
UGP,4.36,+0.23%,"1,553,919",-0.46,1.12
ABSI,4.37,-5.41%,"898,615",-4.76,0.81
TIGR,4.485,+6.28%,"4,054,420",8.7,3.31
MNKD,4.645,-1.80%,"1,121,957",-1.7,0.51
CCCC,4.72,-4.65%,"1,068,793",-4.25,0.82
HPP,4.85,+1.89%,"1,376,532",2.97,0.63
ACIU,4.87,+5.64%,"975,681",7.03,0.96
OCUL,5.20,-5.28%,"1,481,137",-4.76,0.61
MQ,5.33,+1.14%,"2,580,322",1.34,0.55
GOTU,5.44,-0.91%,"924,218",-0.37,0.36
OXLC,5.54,+1.84%,"3,106,624",1.28,1.09
SAND,5.68,+2.34%,"1,627,210",2.16,0.68
CLVT,5.76,-0.17%,"3,840,619",-0.17,0.82
HL,5.80,+4.69%,"8,902,516",3.0,0.86
RNW,5.82,-6.58%,"2,112,409",-5.4,1.95
PAYO,5.92,-0.17%,"1,583,895",-0.34,0.64
GSM,5.94,+1.89%,"1,278,630",1.89,0.9
ITUB,6.10,+2.01%,"14,753,112",1.0,0.85
BHC,6.23,-0.80%,"1,338,647",-0.32,0.39
VNDA,6.27,+24.16%,"9,808,951",-3.71,3.54
ERIC,6.29,-0.47%,"7,774,939",0.32,0.45
AEG,6.39,+0.31%,"1,315,291",0.16,0.5
BRY,6.41,+2.23%,"1,525,620",2.23,1.38
RES,6.48,-0.31%,"883,900",-0.61,0.61
UEC,6.53,+2.19%,"5,128,351",2.35,0.83
ALT,6.73,-7.81%,"2,786,682",-6.87,0.87
ARDX,6.74,-5.47%,"3,727,278",-4.52,0.72
UA,6.75,+0.45%,"2,060,239",-0.88,0.66
MCW,6.82,-1.59%,"1,951,605",-0.44,1.04
AG,6.85,+2.09%,"6,791,386",2.82,0.7
CX,6.93,-1.84%,"7,173,373",-1.85,1.12
UAA,6.94,+0.87%,"5,025,313",0.29,0.62
NXE,7.20,+0.56%,"4,249,614",-0.42,0.67
SWN,7.23,-0.69%,"6,534,217",-0.96,0.49
ADT,7.41,+0.82%,"3,295,924",0.95,0.76
PROSY,7.4900,+0.27%,"1,361,779",0.67,0.93
VIAV,7.53,-1.70%,"1,053,247",-1.7,0.66
ALIT,7.57,+1.75%,"3,695,835",1.5,0.67
SMR,7.67,-1.54%,"2,745,097",-0.26,0.51
DBI,7.87,-7.52%,"3,347,043",-6.84,2.23
LC,8.33,-1.65%,"768,790",0.48,0.58
DRH,8.35,0.00%,"1,721,111",0.12,0.81
ASTS,9.32,+6.03%,"10,087,142",7.45,1.01
RLJ,9.84,+0.10%,"1,060,169",0.61,0.87
MIR,10.08,-1.95%,"513,207",-0.98,0.47
SHO,10.16,-0.59%,"689,653",-0.2,0.44
CWK,10.25,-2.01%,"1,503,464",-1.73,0.57
HLX,10.31,-0.58%,"1,002,468",-0.96,0.69
